Regio,Naam,Url,Afstand,Locatie,Cijfer,Aantal Waarderingen,Aantal Plaatsen Totaal,Postcode
Arnhem,Zorgcentrum Huize Rosa,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorgcentrum-huize-rosa-nijmegen-12674,18 km,Nijmegen,8.6,38,54.57,6543 JG
Arnhem,"Liemerije, Droostaete",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-liemerije-droostaete-duiven-3041809,9 km,Duiven,8.3,49,54.57,6921 WJ
Arnhem,De Waalboog,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-de-waalboog-nijmegen-8321,18 km,Nijmegen,8.2,284,54.57,6523 PA
Arnhem,"De Waalboog, locatie Nijevelt",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-de-waalboog-locatie-nijevelt-nijmegen-12670,18 km,Nijmegen,8.2,58,86.0,6525 AH
Arnhem,Stichting Zorgcentrum Huize Rosa,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-stichting-zorgcentrum-huize-rosa-nijmegen-10000333,18 km,Nijmegen,8.2,135,54.57,6543 JG
Arnhem,"zorggroep Maas en Waal, locatie Alde Steeg",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorggroep-maas-en-waal-locatie-alde-steeg-beuningen-12586,16 km,Beuningen,8.1,80,54.57,6641 BG
Arnhem,OBG,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-obg-nijmegen-10017078,17 km,Nijmegen,8.1,120,54.57,6524 PJ
Arnhem,"Zorggroep Maas en Waal, locatie De Kasteelhof",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorggroep-maas-en-waal-locatie-de-kasteelhof-druten-12604,23 km,Druten,8.1,54,54.57,6651 VB
Arnhem,"ZZG zorggroep, ZZG Herstelcentrum",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-zzg-herstelcentrum-groesbeek-3047546,20 km,Groesbeek,8.0,45,180.0,6561 LE
Arnhem,"Liemerije, Meulenvelden",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-liemerije-meulenvelden-didam-12593,17 km,Didam,7.9,100,54.57,6942 RG
Arnhem,"De Waalboog, locatie La Verna",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-de-waalboog-locatie-la-verna-wijchen-12731,22 km,Wijchen,8.0,76,70.0,6603 AM
Arnhem,"De Waalboog, locatie Joachim en Anna",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-de-waalboog-locatie-joachim-en-anna-nijmegen-17470,18 km,Nijmegen,8.0,65,167.0,6523 PA
Arnhem,"OBG, Verpleeghuiszorg",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-obg-verpleeghuiszorg-nijmegen-10017077,17 km,Nijmegen,7.9,56,54.57,6524 PJ
Arnhem,"Malderburch, Centrum voor Welzijn, Wonen en Zorg",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-malderburch-centrum-voor-welzijn-wonen-en-zorg-malden-12655,23 km,Malden,7.1,53,54.57,6581 AE
Arnhem,"Liemerije, Heukelumshof",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-liemerije-heukelumshof-pannerden-3041810,14 km,Pannerden,7.8,31,19.0,6911 AX
Arnhem,"ZZG Zorggroep, Woonlocatie De Passerel",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-passerel-wijchen-3063301,23 km,Wijchen,10.0,1,9.0,6601 AR
Arnhem,"Zinzia Zorggroep, Verpleeghuis De Lingehof",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zinzia-zorggroep-verpleeghuis-de-lingehof-bemmel-14674,10 km,Bemmel,7.1,54,143.0,6681 WP
Arnhem,"ZZG zorggroep, Woonlocatie Eikenhorst",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-eikenhorst-groesbeek-3045909,20 km,Groesbeek,10.0,1,71.0,6561 LA
Arnhem,"ZZG zorggroep, Woonlocatie Vlindertuin",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-vlindertuin-berg-en-dal-3061620,18 km,Berg en Dal,9.8,4,32.0,6571 GE
Arnhem,"Zorgcentra De Betuwe, Huize Appelenburg",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorgcentra-de-betuwe-huize-appelenburg-dodewaard-3039297,19 km,Dodewaard,9.7,2,16.0,6669 AG
Arnhem,"ZZG zorggroep, Woonlocatie Juliana",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-juliana-nijmegen-3060319,16 km,Nijmegen,9.5,7,32.0,6522 AS
Arnhem,"ZZG zorggroep, Woonlocatie Terra",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-terra-nijmegen-12677,16 km,Nijmegen,9.6,10,26.0,6541 NN
Arnhem,Kalorama Veste Brakkenstein,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-kalorama-veste-brakkenstein-nijmegen-3038011,19 km,Nijmegen,9.3,2,54.57,6525 PP
Arnhem,"ZZG zorggroep, Woonlocatie Bosrand",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-bosrand-berg-en-dal-3061619,18 km,Berg en Dal,9.3,14,48.0,6571 GE
Arnhem,Kalorama 't Höfke,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-kalorama-t-hofke-beek-ubbergen-12579,17 km,Beek-Ubbergen,9.4,1,54.57,6573 BV
Arnhem,"zorggroep Maas en Waal, Revalidatie- en Behandelcentrum Waelwick",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorggroep-maas-en-waal-revalidatie-en-behandelcentrum-waelwick-ewijk-14680,17 km,Ewijk,9.2,22,54.57,6644 CP
Arnhem,"ZZG zorggroep, Woonlocatie De Vlechting",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-vlechting-nijmegen-3061618,19 km,Nijmegen,9.3,9,32.0,6538 TN
Arnhem,Gasthuis Millingen,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-gasthuis-millingen-millingen-aan-de-rijn-10008761,17 km,Millingen aan de Rijn,9.2,5,54.57,6566 DD
Arnhem,"ZZG zorggroep, Woonlocatie Meander",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-meander-wijchen-3058583,23 km,Wijchen,9.2,16,56.0,6601 AR
Arnhem,"Gasthuis Millingen, Het Gasthuis",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-gasthuis-millingen-het-gasthuis-millingen-aan-de-rijn-12657,17 km,Millingen aan de Rijn,9.2,5,54.57,6566 DD
Arnhem,"ZZG zorggroep, Woonlocatie Waterrijk",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-waterrijk-nijmegen-12669,20 km,Nijmegen,9.2,1,24.0,6535 NB
Arnhem,"ZZG zorggroep, Woonlocatie De Meent",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-meent-groesbeek-12629,24 km,Groesbeek,9.0,14,25.0,6562 CZ
Arnhem,"ZZG zorggroep, Woonlocatie Zonnebaars",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-zonnebaars-nijmegen-3058581,20 km,Nijmegen,9.2,1,54.57,6535 NB
Arnhem,"Zorgcentra De Betuwe, Elim",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorgcentra-de-betuwe-elim-ochten-12679,25 km,Ochten,9.1,3,60.0,4051 AK
Arnhem,"ZZG zorggroep, Woonlocatie Campanula",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-campanula-lent-3060318,13 km,Lent,9.1,14,32.0,6663 ML
Arnhem,"ZZG zorggroep, Woonlocatie Aaron",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-aaron-lent-10022149,14 km,Lent,9.0,11,36.0,6663 RJ
Arnhem,"ZZG zorggroep, Woonlocatie De Hagert",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-hagert-wijchen-3021336,23 km,Wijchen,9.0,4,30.0,6601 ZZ
Arnhem,"ZZG zorggroep, Woonlocatie De Globe",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-globe-nijmegen-3026300,17 km,Nijmegen,8.9,3,18.0,6512 ES
Arnhem,Betuwehof Zorg,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-betuwehof-zorg-opheusden-3056976,20 km,Opheusden,9.0,10,54.57,4043 JJ
Arnhem,"De Waalboog, locatie Agnetenhof",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-de-waalboog-locatie-agnetenhof-nijmegen-10027472,18 km,Nijmegen,8.9,8,45.0,6545 AS
Arnhem,"De Waalboog, locatie St. Jozefklooster",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-de-waalboog-locatie-st-jozefklooster-nijmegen-12676,17 km,Nijmegen,8.7,9,54.57,6543 KG
Arnhem,Kalorama Verpleeghuis,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-kalorama-verpleeghuis-beek-ubbergen-14670,18 km,Beek-Ubbergen,8.4,16,54.57,6573 DX
Arnhem,"RijnWaal Zorggroep, locatie Liduina",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-rijnwaal-zorggroep-locatie-liduina-bemmel-12583,10 km,Bemmel,8.3,29,54.57,6681 WP
Arnhem,"Pleyade, locatie Lobede",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pleyade-locatie-lobede-tolkamer-15990,21 km,Tolkamer,8.3,23,54.57,6916 CA
Arnhem,"Stichting Jan Berchmans, Aqua Viva",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-stichting-jan-berchmans-aqua-viva-nijmegen-10001007,19 km,Nijmegen,8.5,14,54.57,6525 SM
Arnhem,"ZZG zorggroep, Woonlocatie Wollewei",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-wollewei-nijmegen-3060317,20 km,Nijmegen,8.4,7,24.0,6538 CX
Arnhem,Sensire De Heikant,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-sensire-de-heikant-wehl-3057350,21 km,Wehl,8.2,8,54.57,7031 VE
Arnhem,"De Waalboog, locatie Lentsehof",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-de-waalboog-locatie-lentsehof-lent-10082199,14 km,Lent,8.1,18,78.0,6663 RJ
Arnhem,"zorggroep Maas en Waal, Klein Waelwick",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorggroep-maas-en-waal-klein-waelwick-ewijk-10023829,16 km,Ewijk,7.3,7,54.57,6644 CP
Arnhem,"ZZG zorggroep, Woonlocatie De Elst",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-elst-wijchen-3063300,23 km,Wijchen,7.3,2,20.0,6601 AT
Arnhem,"Liemerije, Dijkzicht",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-liemerije-dijkzicht-tolkamer-3041813,21 km,Tolkamer,7.8,27,54.57,6916 CA
Arnhem,"Pleyade, locatie Prinses Irenestraat",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pleyade-locatie-prinses-irenestraat-elst-10014173,8 km,Elst,5.8,14,54.57,6661 EA
Arnhem,"ZZG zorggroep, Woonlocatie De Weegbree",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-weegbree-wijchen-15016,22 km,Wijchen,7.2,4,72.0,6601 GV
Arnhem,"Zorgcentrum Anker, locatie Avondrust",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorgcentrum-anker-locatie-avondrust-opheusden-10085336,19 km,Opheusden,,0,54.57,4043 MA
Arnhem,"ZZG zorggroep, Woonlocatie Boszicht",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-boszicht-nijmegen-12665,19 km,Nijmegen,6.8,1,92.0,6525 TJ
Arnhem,"zorggroep Maas en Waal, Verpleegunit de Hulsen",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorggroep-maas-en-waal-verpleegunit-de-hulsen-nijmegen-3035482,19 km,Nijmegen,,0,54.57,6525 EB
Arnhem,"ZZG zorggroep, Woonzorglocatie Kloostertuin",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonzorglocatie-kloostertuin-groesbeek-3048432,23 km,Groesbeek,,0,32.0,6561 BZ
Arnhem,"ZZG zorggroep, Woonlocatie De Horizon",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-horizon-nijmegen-3062290,21 km,Nijmegen,,0,48.0,6537 GA
Arnhem,"ZZG Zorggroep, Woonlocatie Bosrijk",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-bosrijk-nijmegen-10008324,19 km,Nijmegen,,0,54.57,6525 TJ
Arnhem,"ZZG zorggroep, Woonlocatie De Plataan",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-plataan-groesbeek-3058582,20 km,Groesbeek,,0,23.0,6561 LA
Arnhem,"ZZG zorggroep, Woonlocatie De Oogst",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-de-oogst-wijchen-3059115,23 km,Wijchen,,0,46.0,6601 AT
Arnhem,"ZZG zorggroep, Woonlocatie Griffioen",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-griffioen-nijmegen-3059390,16 km,Nijmegen,,0,78.0,6541 RX
Nijmegen,Pantein De Schittering,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pantein-de-schittering-haps-3041801,14 km,Haps,8.9,35,54.57,5443 AR
Nijmegen,Proteion Zorgcentrum Libermannhof,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-proteion-zorgcentrum-libermannhof-gennep-13565,16 km,Gennep,8.7,63,54.57,6591 GT
Nijmegen,zorggroep Maas en Waal,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorggroep-maas-en-waal-beneden-leeuwen-11866,23 km,Beneden-Leeuwen,8.5,440,54.57,6658 WX
Nijmegen,"BrabantZorg, Catharinahof",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-catharinahof-grave-3053827,9 km,Grave,8.6,36,54.57,5361 CR
Nijmegen,Pantein De Lookant,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pantein-de-lookant-wanroij-13537,17 km,Wanroij,8.4,34,54.57,5446 BG
Nijmegen,"zorggroep Maas en Waal, locatie St. Elisabeth",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorggroep-maas-en-waal-locatie-st-elisabeth-beneden-leeuwen-14675,23 km,Beneden-Leeuwen,8.1,124,54.57,6658 WX
Nijmegen,Zorgcentra Pantein,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zorgcentra-pantein-beugen-12262,18 km,Beugen,8.0,566,54.57,5835 DV
Nijmegen,Pantein Castella,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pantein-castella-cuijk-3059123,10 km,Cuijk,8.2,114,54.57,5431 MC
Nijmegen,Pantein Op 't Hoogveld,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pantein-op-t-hoogveld-sint-anthonis-13487,21 km,Sint Anthonis,8.1,50,54.57,5845 DZ
Nijmegen,Pantein Symfonie,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pantein-symfonie-boxmeer-13354,19 km,Boxmeer,7.9,53,54.57,5831 ZZ
Nijmegen,Sint Anna,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-sint-anna-boxmeer-12189,20 km,Boxmeer,7.9,85,54.57,5831 JM
Nijmegen,Pantein Norbertushof,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pantein-norbertushof-gennep-15017,16 km,Gennep,7.7,95,54.57,6591 KH
Nijmegen,"Laverhof, locatie Het Retraitehuis",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-laverhof-locatie-het-retraitehuis-uden-13517,23 km,Uden,7.9,94,55.0,5405 NA
Nijmegen,Herstelkliniek Pantein,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-herstelkliniek-pantein-boxmeer-14862,19 km,Boxmeer,7.5,90,54.57,5831 LL
Nijmegen,Pantein Aldenhorst,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pantein-aldenhorst-mill-13451,14 km,Mill,7.6,32,54.57,5451 PA
Nijmegen,"BrabantZorg, Maasland",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-maasland-herpen-13426,14 km,Herpen,10.0,3,54.57,5373 AD
Nijmegen,Het Andere Wonen Milsbeek,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-het-andere-wonen-milsbeek-milsbeek-10082180,12 km,Milsbeek,9.9,4,54.57,6596 GG
Nijmegen,"ZZG zorggroep, Woonlocatie Mookerhof",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-mookerhof-mook-10013144,7 km,Mook,10.0,1,54.57,6585 KZ
Nijmegen,"BrabantZorg, Vierhoven",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-vierhoven-schaijk-3058680,16 km,Schaijk,9.1,11,54.57,5374 HE
Nijmegen,"BrabantZorg, Sint Jan",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-sint-jan-uden-13518,23 km,Uden,8.8,27,54.57,5401 BE
Nijmegen,"BrabantZorg, Sint Antonius",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-sint-antonius-volkel-13528,23 km,Volkel,8.9,29,54.57,5408 BK
Nijmegen,"BrabantZorg, De Pastorie",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-de-pastorie-volkel-3058766,23 km,Volkel,9.1,15,54.57,5408 BC
Nijmegen,"BrabantZorg, MuzeRijk",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-muzerijk-uden-3058768,22 km,Uden,8.9,7,54.57,5402 BE
Nijmegen,"BrabantZorg, Dijkstaete",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-dijkstaete-schaijk-3058767,17 km,Schaijk,8.8,2,54.57,5374 RM
Nijmegen,"BrabantZorg, Compostella",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-compostella-zeeland-13543,17 km,Zeeland,8.6,11,54.57,5411 BK
Nijmegen,"BrabantZorg, Heelwijk",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-heelwijk-heesch-13418,23 km,Heesch,8.5,2,54.57,5384 CG
Nijmegen,"Malderburch, locatie De Lage Hof",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-malderburch-locatie-de-lage-hof-overasselt-10020318,6 km,Overasselt,8.6,21,54.57,6611 AA
Nijmegen,"BrabantZorg, Nieuwe Hoeven",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-nieuwe-hoeven-schaijk-14895,17 km,Schaijk,8.6,12,54.57,5374 RL
Nijmegen,"BrabantZorg, Laarstede",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-brabantzorg-laarstede-nistelrode-13455,23 km,Nistelrode,8.2,13,54.57,5388 HH
Nijmegen,Pantein Orangerie,https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-pantein-orangerie-boxmeer-3059459,19 km,Boxmeer,7.9,29,54.57,5831 LP
Nijmegen,"Dagelijks Leven, locatie Het Elderomhuis",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-dagelijks-leven-locatie-het-elderomhuis-boxmeer-10083499,19 km,Boxmeer,,0,54.57,5831 TX
Nijmegen,"ZZG zorggroep, Woonlocatie Mookerplein",https://www.zorgkaartnederland.nl/zorginstelling/verpleeghuis-en-verzorgingshuis-zzg-zorggroep-woonlocatie-mookerplein-mook-10013147,7 km,Mook,,0,54.57,6585 KZ
